B,rollout,train_group,chunk_id,total_tokens,num_microbatches,fwd_bwd_s,chunk_total_s,end_ts
64,18,2,5,95325,16,7.7000,9.6390,1789851112.7287
64,18,2,6,81736,16,7.1650,9.0210,1789851122.9128
64,18,2,7,92497,16,7.5930,9.5180,1789851133.6126
64,18,2,8,188194,16,14.3070,17.8470,1789851152.6728
64,18,2,9,116017,16,9.3960,11.6610,1789851165.6836
64,18,2,10,111530,16,9.7590,12.1590,1789851179.0187
64,18,2,11,146271,16,11.5480,14.3460,1789851194.5681
64,18,2,12,115065,16,9.4760,11.7830,1789851207.5562
64,18,2,13,156810,16,13.6180,16.7270,1789851226.0437
64,18,2,14,194671,16,15.5790,19.2470,1789851246.5047
64,18,2,15,190822,16,17.7670,21.5810,1789851269.3805
64,18,2,16,123552,8,10.1060,12.5180,1789851283.0839
64,19,2,1,24587,7,2.5120,3.3290,1789851571.4965
64,19,2,2,24962,7,2.5480,3.2840,1789851575.9160
64,19,2,3,32491,11,4.2420,5.3550,1789851582.3745
64,19,2,4,35477,11,3.8420,4.9630,1789851588.4024
64,19,2,5,34763,11,3.7880,4.8980,1789851594.3647
64,19,2,6,33442,11,3.7920,5.0650,1789851600.5108
64,19,2,7,39310,13,4.5260,5.8340,1789851607.4532
64,19,2,8,45297,13,4.5660,5.9020,1789851614.6319
64,19,2,9,44402,13,4.5040,5.8350,1789851621.5734
64,19,2,10,55182,16,5.5380,7.1950,1789851630.3135
64,19,2,11,59543,15,5.7830,7.3340,1789851638.8165
64,19,2,12,57012,14,5.1170,6.7200,1789851646.6326
64,19,2,13,79549,16,6.6180,8.3460,1789851656.1036
64,19,2,14,73306,16,6.1310,7.8460,1789851665.2344
64,19,2,15,83463,16,7.0310,8.8270,1789851675.7155
64,19,2,16,82383,16,7.0050,8.8460,1789851685.6960
64,19,2,17,99937,16,7.4660,9.3360,1789851696.0960
64,19,2,18,105426,16,8.5560,10.6430,1789851707.8072
64,19,2,19,150017,16,11.8720,14.6600,1789851723.6895
64,19,2,20,115405,16,9.4860,11.7780,1789851736.8382
64,19,2,21,92428,15,8.1920,10.1430,1789851748.2835
64,19,2,22,145582,16,11.8060,14.5200,1789851763.9915
64,19,2,23,182242,16,15.2990,18.7570,1789851783.9724
64,19,2,24,317073,32,26.3780,32.5880,1789851817.8077
64,19,2,25,225026,16,17.8950,22.2290,1789851841.4087
64,19,2,26,116637,8,10.2280,12.4320,1789851855.7630
64,0,3,1,69999,16,12.2070,23.9700,1789840435.3393
64,0,3,2,63522,16,6.5190,8.1980,1789840445.0370
64,0,3,3,86036,16,8.1900,10.4120,1789840456.9101
64,0,3,4,90432,15,7.5660,9.3630,1789840467.5747
64,0,3,5,86049,16,8.4720,10.4300,1789840479.1011
64,0,3,6,121686,16,9.7480,11.9760,1789840492.5413
64,0,3,7,141505,16,11.8560,14.7950,1789840508.7927
64,0,3,8,170857,16,13.1270,16.3860,1789840526.7713
64,0,3,9,158341,16,12.7020,15.6170,1789840543.5937
64,0,3,10,166507,16,14.1920,17.2690,1789840562.3029
64,0,3,11,143771,16,11.6010,14.3020,1789840578.0794
64,0,3,12,440445,32,36.9730,45.4390,1789840624.8603
64,0,3,13,187290,16,16.0900,19.6980,1789840646.7875
64,0,3,14,119870,8,9.3930,11.5990,1789840659.6302
64,1,3,1,74744,16,7.4050,9.0620,1789841055.2529
64,1,3,2,91536,16,7.9720,9.7320,1789841066.0402
64,1,3,3,102651,16,8.0690,10.2530,1789841077.6255
64,1,3,4,122539,16,9.0290,11.2500,1789841090.8928
64,1,3,5,123512,16,10.1790,13.1530,1789841105.4558
64,1,3,6,118558,15,9.8070,12.5050,1789841119.9530
64,1,3,7,166330,16,12.1940,15.2250,1789841136.9453
64,1,3,8,192761,16,17.0320,21.0720,1789841159.7304
64,1,3,9,170142,16,13.6300,16.8450,1789841178.0982
64,1,3,10,312773,32,26.4420,32.4810,1789841212.7006
64,1,3,11,231751,16,19.3240,23.7950,1789841238.3695
64,2,3,1,20329,6,2.7920,3.4010,1789841553.7752
64,2,3,2,23684,7,4.0460,4.8930,1789841559.7207
64,2,3,3,35876,12,3.8170,4.9320,1789841566.2713
64,2,3,4,32521,11,3.9990,4.9740,1789841572.2741
64,2,3,5,46519,15,4.5960,6.3350,1789841579.7512
64,2,3,6,42311,12,4.1120,5.2290,1789841586.4854
64,2,3,7,49697,15,5.3850,6.9210,1789841595.4144
64,2,3,8,52246,14,4.9220,6.6320,1789841603.8361
64,2,3,9,57310,14,5.4650,6.8520,1789841611.7736
64,2,3,10,68756,16,6.1520,7.7770,1789841620.8639
64,2,3,11,72408,16,6.6540,8.8130,1789841631.1972
64,2,3,12,79141,16,7.2120,8.8870,1789841641.1718
64,2,3,13,80220,16,6.5630,8.7800,1789841651.6386
64,2,3,14,85401,16,7.5420,9.4370,1789841662.2505
64,2,3,15,94546,16,9.3260,11.2540,1789841674.6729
64,2,3,16,123961,16,9.8560,12.1560,1789841688.4795
64,2,3,17,166999,16,14.8990,17.9840,1789841707.9426
64,2,3,18,131369,16,11.5480,14.3630,1789841723.6669
64,2,3,19,118874,16,10.9870,13.2800,1789841738.1058
64,2,3,20,166263,16,13.7660,16.8370,1789841757.4109
64,2,3,21,139400,16,10.5490,13.1110,1789841772.8830
64,2,3,22,349633,32,29.3550,36.5400,1789841810.8605
64,2,3,23,152402,16,13.4530,16.3880,1789841828.5214
64,2,3,24,125763,8,10.8550,13.1410,1789841843.0235
64,2,3,25,128122,8,10.2500,12.6420,1789841857.2796
64,3,3,1,81571,16,6.5610,9.2880,1789842240.1908
64,3,3,2,90583,16,7.2920,9.2850,1789842250.8475
64,3,3,3,93496,16,7.3930,9.1990,1789842261.3634
64,3,3,4,94050,15,7.5320,9.3980,1789842271.9216
64,3,3,5,88579,16,7.5910,9.7930,1789842283.1979
